,Latitude,Longitude,Altitude,Year,Declination,Inclination,Horizontal_intensity,Total_intensity,North_component,East_component,Vertical_component,DeclinationSV,InclinationSV,HorizontalSV,TotalSV,NorthSV,EastSV,VerticalSV,B(T)
39,-25.000002042920528,-55.0,390.0,2008.0,-12.935424715671214,-29.092597530878685,17068.465263336304,19532.82290762329,16635.318432411776,-3820.8228299646494,-9497.297736454044,8.12393278279139,-59.90318647837885,13.887380703295765,-25.277255614028675,-67.31680480326128,-26.798200350012884,-57.65425962122425,1.953282290762329e-05
40,-25.00000203989255,-55.0,400.0,2008.0,-12.901642240738441,-29.08390194679093,17006.57355218894,19460.352090723834,16577.239114519525,-3797.1946652833403,-9459.479875179566,8.092228908316407,-59.58910041527703,13.86170358843162,-25.166476388584893,-66.92869616138215,-26.604248145557868,-57.32764009033939,1.9460352090723835e-05
41,-25.000002036873525,-55.0,410.0,2008.0,-12.868077008283677,-29.07527875905395,16944.95668871479,19388.222055303893,16519.391374515977,-3773.7601669935552,-9421.86803576405,8.060743955147684,-59.276980719855636,13.836168838470423,-25.05599561145579,-66.54346905956996,-26.412043794217546,-57.003605844128536,1.9388222055303894e-05
42,-25.00000203386344,-55.0,420.0,2008.0,-12.834727029756392,-29.066727210157385,16883.613372445452,19316.43091801524,16461.774509952786,-3750.5173634696816,-9384.46071440636,8.029475832003065,-58.96681470054354,13.810775311693925,-24.945818581312658,-66.16109734056917,-26.22156843969425,-56.68212999476075,1.9316430918015242e-05
43,-25.000002030862234,-55.0,430.0,2008.0,-12.801590340084639,-29.0582465519828,16822.542307633215,19244.97680726945,16404.387813386475,-3727.4643070225143,-9347.256422086086,7.998422472765358,-58.65858971696309,13.785521878152622,-24.83595040365017,-65.78155512789098,-26.03280346288128,-56.36318600790586,1.924497680726945e-05
44,-25.00000202786987,-55.0,440.0,2008.0,-12.768664997335133,-29.049836045675328,16761.742203273545,19173.85786315254,16347.230572582152,-3704.5990735620658,-9310.253684372678,7.967581836120479,-58.35229318091362,13.760407419525135,-24.726395995783133,-65.40481682234754,-25.84573047844563,-56.04674769705542,1.9173857863152542e-05
45,-25.000002024886328,-55.0,450.0,2008.0,-12.735949082379095,-29.04149496151711,16701.21177312704,19103.072237341123,16290.302070712905,-3681.9197622658853,-9273.451041237875,7.936951905201607,-58.047912557307946,13.735430828979274,-24.617160091719917,-65.0308570986359,-25.66033133146692,-55.73278921795193,1.9103072237341122e-05
46,-25.000002021911527,-55.0,460.0,2008.0,-12.703440698563766,-29.03322257880182,16640.949735739996,19032.61809301883,16233.601586554058,-3659.4244952525873,-9236.847046870631,7.906530687239249,-57.7454353650594,13.71059101103483,-24.508247246911573,-64.65965090196703,-25.476588094130584,-55.4212850631229,1.903261809301883e-05
47,-25.000002018945466,-55.0,470.0,2008.0,-12.67113797138965,-29.025018185711826,16580.954814463927,18962.493604793788,16177.128394672736,-3637.1114172606253,-9200.440269495299,7.876316213217081,-57.44484917792467,13.68588688142815,-24.399661842882885,-64.29117344474216,-25.294483062474747,-55.112210056518066,1.896249360479379e-05
48,-25.000002015988088,-55.0,480.0,2008.0,-12.639039048193185,-29.016881079196732,16521.225737474226,18892.696958616907,16120.881765613043,-3614.9786953321977,-9164.229291192562,7.84630653753338,-57.14614162530133,13.661317366978286,-24.291408091746845,-63.92540020327412,-25.11399875318985,-54.80553934824819,1.889269695861691e-05
49,-25.000002013039378,-55.0,490.0,2008.0,-12.607142097834933,-29.008810564853793,16461.761237787563,18823.226351700796,16064.860966076474,-3593.0245185021513,-9128.212707723133,7.8164997376680825,-56.84930039298347,13.63688140545477,-24.183490040606543,-63.56230691455417,-24.935117900470054,-54.501248409421144,1.8823226351700796e-05
50,-25.00000216845413,-60.0,0.0,2008.0,-10.387693709233892,-26.187681195930455,20370.559854891035,22700.713796649765,20036.690880418868,-3672.9725515224873,-10018.118489801705,10.49491751427416,-72.05556514901767,12.634223843728684,-39.77302012875805,-81.75072868975501,-49.58202269151298,-58.49970290251,2.2700713796649767e-05
51,-25.0000021650429,-60.0,10.0,2008.0,-10.356880442310931,-26.186376943641914,20293.29845665933,22614.361436751125,19962.660699684282,-3648.306461953632,-9979.54813310525,10.447362319603645,-71.67191760752819,12.613130249182221,-39.56752655546149,-81.25883853596025,-49.172678655588285,-58.174531659010064,2.2614361436751128e-05
52,-25.000002161642385,-60.0,20.0,2008.0,-10.32629513369283,-26.185113351275092,20216.382261789116,22528.403565382076,19888.934999953202,-3623.862072764093,-9941.1697224189,10.400210653714101,-71.29056219838372,12.592152223800678,-39.36296194280013,-80.77076831708017,-48.767726104724424,-57.85187431523624,2.2528403565382076e-05
53,-25.000002158252542,-60.0,30.0,2008.0,-10.29593532359071,-26.18388978609959,20139.809882171434,22442.838409825243,19815.513025147964,-3599.6368761586937,-9902.982065999971,10.35345769404021,-70.91148816840683,12.571288807847766,-39.15932944691282,-80.28648120074311,-48.367106638168444,-57.53170504150979,2.2442838409825245e-05
54,-25.000002154873314,-60.0,40.0,2008.0,-10.265798586834423,-26.182705625011724,20063.57992755364,22357.664199640723,19742.3940053966,-3575.6283986194294,-9864.983981465108,10.307098691039823,-70.53468467803826,12.550539052237099,-38.95663195294877,-79.80594078998489,-47.97076278370735,-57.213998354259544,2.2357664199640725e-05
55,-25.00000215150466,-60.0,50.0,2008.0,-10.235882532273207,-26.181560254388394,19987.69100577286,22272.87916683257,19669.577157514956,-3551.8342003560892,-9827.17429570021,10.261128966871606,-70.16014080699078,12.529902018395134,-38.75487208377667,-79.32911111694771,-47.57863798053571,-56.89872911010987,2.227287916683257e-05
56,-25.000002148146507,-60.0,60.0,2008.0,-10.206184802188533,-26.180453069942804,19912.141722983295,22188.481546010178,19597.06168547662,-3528.251874766945,-9789.551844771144,10.215543914100518,-69.78784555970579,12.509376778125882,-38.554052208437035,-78.85595663669035,-47.19067656248228,-56.58587250009409,2.2188481546010178e-05
57,-25.000002144798827,-60.0,70.0,2008.0,-10.176703071719043,-26.17938347658299,19836.93068387692,22104.46957454432,19524.84678087037,-3504.8790479092772,-9752.11547383531,10.170338994429958,-69.41778787061985,12.488962413477037,-38.35417445034624,-78.38644222110719,-46.80682374158456,-56.27540404398625,2.2104469574544322e-05
58,-25.00000214146158,-60.0,80.0,2008.0,-10.147435048297318,-26.178350888271776,19762.056491898384,22020.84149271832,19452.931623346147,-3481.713377979645,-9714.864037053829,10.12550973746056,-69.04995660924654,12.468658016608087,-38.15524069525932,-77.92053315295347,-46.427025592006345,-55.96729958475368,2.202084149271832e-05
59,-25.000002138134676,-60.0,90.0,2008.0,-10.11837847109793,-26.17735472788909,19687.517749454164,21937.59554387463,19381.315381049666,-3458.752554803596,-9677.796397504719,10.081051739474622,-68.6843405850805,12.448462689659728,-37.957252598998835,-77.45819511997541,-46.05122903428846,-55.66153528312187,2.1937595543874632e-05
60,-25.00000213481809,-60.0,100.0,2008.0,-10.089531110496752,-26.176394427096,19613.313058115647,21854.729974556343,19309.997211045622,-3435.9942993346313,-9640.911427096598,10.03696066224547,-68.32092855232852,12.42837554462511,-37.76021159495659,-76.99939420914136,-45.67938181992433,-55.35808761225311,2.1854729974556345e-05
61,-25.000002131511792,-60.0,110.0,2008.0,-10.06089076754126,-26.175469426201353,19539.441018816753,21772.24303464437,19238.97625973014,-3413.436363162307,-9604.208006483486,9.99323223187169,-67.95970921447395,12.408395703222647,-37.564118901375494,-76.54409690097334,-45.31143251625551,-55.05693335253385,2.177224303464437e-05
62,-25.000002128215726,-60.0,120.0,2008.0,-10.032455273431404,-26.174579174029383,19465.900232046235,21690.132977490146,19168.251663232797,-3391.0765280292376,-9567.685024980072,9.94986223763512,-67.60067122868092,12.388522296770486,-37.36897552841858,-76.0922700639777,-44.94733049167769,-54.75804958646969,2.1690132977490148e-05
63,-25.00000212492982,-60.0,130.0,2008.0,-10.004222489010983,-26.173723127790215,19392.689298034173,21608.39806004371,19097.82254780784,-3368.9126053567643,-9531.341380477963,9.906846530882149,-67.24380321004034,12.368754466062406,-37.17478228502964,-75.64388094916877,-44.58702590114988,-54.46141369368319,2.1608398060043712e-05
64,-25.000002121654063,-60.0,140.0,2008.0,-9.976190304269208,-26.172900752951755,19319.80681693381,21527.036542977992,19027.688030215915,-3346.9424357792823,-9495.175979362772,9.864181023928415,-66.88909373566682,12.349091361245655,-36.981539785593434,-75.19889718468947,-44.23046967200267,-54.167003346015065,2.1527036542977993e-05
65,-25.00000211838838,-60.0,150.0,2008.0,-9.948356637852,-26.172111523113628,19247.251388997993,21446.046690808762,18957.84721809569,-3325.163888686809,-9459.18773643193,9.821861688985038,-66.53653134864895,12.329532141699964,-36.78924845640193,-74.75728677052189,-43.877613490034044,-53.87479650272309,2.1446046690808762e-05
66,-25.00000211513273,-60.0,160.0,2008.0,-9.920719436583354,-26.171354919882933,19175.021614750513,21365.42677201033,18888.29921032574,-3303.5748617758613,-9423.375574813224,9.779884557107483,-66.18610456185732,12.310075975918382,-36.59790854192925,-74.3190180732882,-43.52840978589165,-53.584771405779044,2.1365426772010333e-05
67,-25.00000211188707,-60.0,170.0,2008.0,-9.893276674995867,-26.170630432751942,19103.116095153073,21285.175059127963,18819.043097377642,-3282.173280608335,-9387.738425884409,9.738245717165242,-65.83780186161772,12.290722041389623,-36.40752011092555,-73.88405982114094,-43.1828117217306,-53.2969065752599,2.1285175059127964e-05
68,-25.000002108651373,-60.0,180.0,2008.0,-9.86602635487079,-26.169937558977388,19031.533431766937,21205.289828885714,18750.077961659346,-3260.9570981782554,-9352.275229193227,9.696941314832461,-65.49161171125007,12.271469524481853,-36.218083062330834,-73.45238109873803,-42.840773178142356,-53.011180804830985,2.1205289828885715e-05
69,-25.00000210542558,-60.0,190.0,2008.0,-9.838966504786951,-26.169275803461943,18960.2722269104,21125.769362291176,18681.402877850145,-3239.924294486248,-9316.98493237864,9.65596755159914,-65.14752255448052,12.252317620328192,-36.0295971310165,-73.02395134230358,-42.50224874134945,-52.72757315732023,2.1125769362291176e-05
70,-25.000002102209606,-60.0,200.0,2008.0,-9.812095179678655,-26.168644678636795,18889.331083811714,21046.61194473642,18613.016913226977,-3219.072876121621,-9281.866491092534,9.61532068380209,-64.80552281872963,12.233265532713668,-35.84206189335928,-72.59874033477172,-42.16719369065844,-52.44606296037999,2.1046611944736422e-05
71,-25.000002099003467,-60.0,210.0,2008.0,-9.785410460402183,-26.168043704347102,18818.708606757184,20967.815866095163,18544.919127981866,-3198.4008758517566,-9246.918868922507,9.57499702167515,-64.46560091828009,12.21431247396335,-35.65547677265291,-72.17671820101073,-41.83556398616556,-52.16662980223368,2.0967815866095163e-05
72,-25.00000209580709,-60.0,220.0,2008.0,-9.758910453310735,-26.167472407737847,18748.403401235675,20889.379420817,18477.10857553184,-3177.9063522188876,-9212.14103731523,9.534992928418838,-64.12774525732978,12.195457664832647,-35.46984104436066,-71.75785540312852,-41.50731625671077,-51.88925352750912,2.0889379420817003e-05
73,-25.000002092620434,-60.0,230.0,2008.0,-9.732593289837698,-26.166930323142203,18678.41407407839,20811.300908017914,18409.584302820338,-3157.5873891439296,-9177.53197550069,9.495304819288194,-63.79194423293089,12.176700334398372,-35.28515384121506,-71.34212273585428,-41.18240778807291,-51.61391423315114,2.0811300908017915e-05
74,-25.00000208944344,-60.0,240.0,2008.0,-9.706457126088011,-26.16641699197157,18608.73923359464,20733.57863156757,18342.345350610834,-3137.4420955372952,-9143.090670417247,9.455929160699041,-63.45818623782183,12.158039719951761,-35.10141415816871,-70.92949132199793,-40.86079651140173,-51.34059226441621,2.073357863156757e-05
75,-25.000002086276112,-60.0,250.0,2008.0,-9.680500142437207,-26.16593196260702,18539.37748970394,20656.21090017376,18275.390753773252,-3117.4686049165484,-9108.816116637556,9.416862469351866,-63.1264596631536,12.139475066892668,-34.91862085720071,-70.51993260798422,-40.542440991880696,-51.069268210943854,2.065621090017376e-05
76,-25.000002083118332,-60.0,260.0,2008.0,-9.654720543138557,-26.16547479029235,18470.327454063885,20579.1960274634,18208.71954156251,-3097.6650750308127,-9074.707316295075,9.378101311373069,-62.79675290111509,12.121005628625321,-34.73677267198301,-70.11341835946078,-40.227300417616334,-50.799922902905934,2.05791960274634e-05
77,-25.00000207997013,-60.0,270.0,2008.0,-9.629116555937461,-26.165045037029145,18401.587740194285,20502.53233206066,18142.330737890006,-3078.0296874916826,-9040.76327901157,9.339642301473328,-62.46905434745854,12.102630666455491,-34.555868212409074,-69.70992065697698,-39.91533458874842,-50.532537407229604,2.050253233206066e-05
78,-25.000002076831407,-60.0,280.0,2008.0,-9.603686431693301,-26.164642271472644,18333.15696359786,20426.218137662294,18076.223361588218,-3058.5606474106357,-9006.983021825197,9.301482102122227,-62.14335240393174,12.084349449488839,-34.375905968992946,-69.30941189173511,-39.60650390677626,-50.26709302389372,2.0426218137662295e-05
